ts,from,subject,confidence
2025-08-16T18:16:23Z,user@example.com,系統當機導致客戶無法使用,0.920
2025-08-16T18:16:23Z,user@example.com,我要投訴,0.950
2025-08-16T18:21:07Z,,系統宕機,0.000
2025-08-16T18:26:14,,系統宕機
2025-08-17T02:32:18,,系統宕機
2025-08-17T02:32:20,,系統宕機
2025-08-17T02:34:51,,系統宕機
2025-08-16T18:50:42.464691,,系統宕機
2025-08-16T18:50:46.288882,,系統宕機
2025-08-17T03:20:58.789276,,系統宕機
2025-08-17T03:38:58.698388,,系統宕機
2025-08-17T03:41:15.551711,,系統宕機
2025-08-17T03:56:17.079930,,系統宕機
2025-08-17T04:03:23.489595,,系統宕機
